"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.705629917E0,-7.723937988E-2,7.200027466E-2,9.786648560E0
3.715615917E0,-6.735992432E-2,7.993377686E-2,9.795330505E0
3.725601917E0,-6.795867920E-2,8.427474976E-2,9.789043579E0
3.735587917E0,-7.379653931E-2,6.810836792E-2,9.787397003E0
3.745573917E0,-7.843688965E-2,6.825805664E-2,9.787397003E0
3.755559917E0,-8.128097534E-2,8.217910767E-2,9.793983307E0
3.765546917E0,-8.307723999E-2,7.783813477E-2,9.808054047E0
3.775532917E0,-8.337661743E-2,8.532257080E-2,9.791737976E0
3.785518917E0,-6.960525513E-2,8.187973022E-2,9.796827393E0
3.795504917E0,-6.885681152E-2,9.026229858E-2,9.811197510E0
3.805490917E0,-6.676116943E-2,8.891510010E-2,9.790690155E0
3.815476958E0,-6.691085815E-2,8.442443848E-2,9.800120544E0
3.825462958E0,-6.182144165E-2,6.960525513E-2,9.791438599E0
3.835448958E0,-7.858657837E-2,8.008346558E-2,9.783654785E0
3.845434958E0,-8.232879639E-2,8.053253174E-2,9.799372101E0
3.855420958E0,-7.514373779E-2,6.870712280E-2,9.802365875E0
3.865406958E0,-6.122268677E-2,8.247848511E-2,9.801018677E0
3.875392958E0,-6.990463257E-2,8.427474976E-2,9.799222412E0
